Date/Time,C1,C3,C5
11/1/20 12:00 AM,15.629,15.796,15.581
11/1/20 12:10 AM,15.557,15.748,15.533
11/1/20 12:20 AM,15.485,15.652,15.438
11/1/20 12:30 AM,15.39,15.605,15.342
11/1/20 12:40 AM,15.366,15.581,15.318
11/1/20 12:50 AM,15.39,15.581,15.342
11/1/20 1:00 AM,15.438,15.605,15.39
11/1/20 1:10 AM,15.485,15.652,15.414
11/1/20 1:20 AM,15.509,15.7,15.461
11/1/20 1:30 AM,15.533,15.724,15.461
11/1/20 1:40 AM,15.557,15.724,15.485
11/1/20 1:50 AM,15.557,15.724,15.485
11/1/20 2:00 AM,15.557,15.724,15.485
11/1/20 2:10 AM,15.581,15.724,15.509
11/1/20 2:20 AM,15.605,15.748,15.509
11/1/20 2:30 AM,15.605,15.748,15.533
11/1/20 2:40 AM,15.605,15.772,15.533
11/1/20 2:50 AM,15.629,15.796,15.557
11/1/20 3:00 AM,15.629,15.796,15.557
11/1/20 3:10 AM,15.652,15.796,15.557
11/1/20 3:20 AM,15.652,15.796,15.557
11/1/20 3:30 AM,15.652,15.796,15.557
11/1/20 3:40 AM,15.652,15.796,15.557
11/1/20 3:50 AM,15.652,15.796,15.581
11/1/20 4:00 AM,15.652,15.796,15.557
11/1/20 4:10 AM,15.652,15.796,15.557
11/1/20 4:20 AM,15.629,15.772,15.557
11/1/20 4:30 AM,15.629,15.796,15.557
11/1/20 4:40 AM,15.629,15.796,15.557
11/1/20 4:50 AM,15.652,15.772,15.533
11/1/20 5:00 AM,15.652,15.796,15.557
11/1/20 5:10 AM,15.652,15.772,15.533
11/1/20 5:20 AM,15.629,15.772,15.533
11/1/20 5:30 AM,15.605,15.748,15.509
11/1/20 5:40 AM,15.605,15.748,15.509
11/1/20 5:50 AM,15.605,15.724,15.509
11/1/20 6:00 AM,15.605,15.748,15.509
11/1/20 6:10 AM,15.605,15.748,15.509
11/1/20 6:20 AM,15.581,15.724,15.509
11/1/20 6:30 AM,15.581,15.724,15.485
11/1/20 6:40 AM,15.557,15.7,15.461
11/1/20 6:50 AM,15.509,15.652,15.438
11/1/20 7:00 AM,15.461,15.629,15.39
11/1/20 7:10 AM,15.438,15.581,15.342
11/1/20 7:20 AM,15.414,15.557,15.318
11/1/20 7:30 AM,15.414,15.533,15.318
11/1/20 7:40 AM,15.438,15.581,15.342
11/1/20 7:50 AM,15.485,15.629,15.39
11/1/20 8:00 AM,15.533,15.676,15.438
11/1/20 8:10 AM,15.581,15.7,15.485
11/1/20 8:20 AM,15.533,15.652,15.414
11/1/20 8:30 AM,15.485,15.605,15.39
11/1/20 8:40 AM,14.816,15.079,14.936
11/1/20 8:50 AM,14.529,14.649,14.481
11/1/20 9:00 AM,14.601,14.721,14.505
11/1/20 9:10 AM,14.553,14.745,14.505
11/1/20 9:20 AM,14.721,14.864,14.625
11/1/20 9:30 AM,15.079,15.127,14.912
11/1/20 9:40 AM,15.461,15.461,15.27
11/1/20 9:50 AM,15.796,15.819,15.629
11/1/20 10:00 AM,16.058,16.058,15.891
11/1/20 10:10 AM,16.129,16.153,15.986
11/1/20 10:20 AM,16.415,16.439,16.272
11/1/20 10:30 AM,17.106,16.963,16.844
11/1/20 10:40 AM,17.582,17.486,17.32
11/1/20 10:50 AM,17.51,17.629,17.391
11/1/20 11:00 AM,17.724,17.772,17.605
11/1/20 11:10 AM,18.747,18.509,18.414
11/1/20 11:20 AM,18.699,18.675,18.509
11/1/20 11:30 AM,18.771,18.818,18.557
11/1/20 11:40 AM,18.2,18.461,18.152
11/1/20 11:50 AM,17.819,18.105,17.796
11/1/20 12:00 PM,17.582,17.867,17.558
11/1/20 12:10 PM,17.653,17.843,17.605
11/1/20 12:20 PM,17.819,17.986,17.748
11/1/20 12:30 PM,17.915,18.057,17.843
11/1/20 12:40 PM,18.01,18.2,17.891
11/1/20 12:50 PM,18.247,18.39,18.152
11/1/20 1:00 PM,18.39,18.509,18.319
11/1/20 1:10 PM,19.103,19.032,18.937
11/1/20 1:20 PM,19.603,19.532,19.413
11/1/20 1:30 PM,19.603,19.722,19.436
