,,,
Date/Time,C1,C3,C5
01/12/2021 00:00,9.657,9.928,9.534
01/12/2021 00:10,9.632,9.854,9.509
01/12/2021 00:20,9.583,9.829,9.46
01/12/2021 00:30,9.534,9.78,9.41
01/12/2021 00:40,9.46,9.731,9.361
01/12/2021 00:50,9.41,9.657,9.287
01/12/2021 01:00,9.386,9.632,9.262
01/12/2021 01:10,9.386,9.608,9.262
01/12/2021 01:20,9.386,9.608,9.262
01/12/2021 01:30,9.386,9.608,9.262
01/12/2021 01:40,9.336,9.558,9.213
01/12/2021 01:50,9.287,9.534,9.163
01/12/2021 02:00,9.213,9.46,9.114
01/12/2021 02:10,9.163,9.41,9.04
01/12/2021 02:20,9.089,9.361,8.99
01/12/2021 02:30,9.015,9.287,8.916
01/12/2021 02:40,8.916,9.213,8.817
01/12/2021 02:50,8.817,9.114,8.717
01/12/2021 03:00,8.742,9.04,8.618
01/12/2021 03:10,8.668,8.965,8.543
01/12/2021 03:20,8.593,8.891,8.469
01/12/2021 03:30,8.519,8.841,8.419
01/12/2021 03:40,8.469,8.767,8.369
01/12/2021 03:50,8.419,8.717,8.319
01/12/2021 04:00,8.369,8.668,8.27
01/12/2021 04:10,8.319,8.618,8.22
01/12/2021 04:20,8.27,8.568,8.145
01/12/2021 04:30,8.22,8.519,8.12
01/12/2021 04:40,8.17,8.469,8.07
01/12/2021 04:50,8.12,8.419,8.02
01/12/2021 05:00,8.07,8.369,7.97
01/12/2021 05:10,8.02,8.319,7.92
01/12/2021 05:20,7.995,8.27,7.87
01/12/2021 05:30,7.945,8.245,7.845
01/12/2021 05:40,7.92,8.195,7.795
01/12/2021 05:50,7.87,8.17,7.77
01/12/2021 06:00,7.845,8.12,7.72
01/12/2021 06:10,7.82,8.095,7.695
01/12/2021 06:20,7.77,8.07,7.67
01/12/2021 06:30,7.72,8.02,7.619
01/12/2021 06:40,7.695,7.995,7.569
01/12/2021 06:50,7.67,7.945,7.544
01/12/2021 07:00,7.67,7.92,7.519
01/12/2021 07:10,7.67,7.92,7.519
01/12/2021 07:20,7.695,7.945,7.544
01/12/2021 07:30,7.77,7.97,7.619
01/12/2021 07:40,7.845,8.045,7.695
01/12/2021 07:50,7.97,8.12,7.77
01/12/2021 08:00,8.07,8.22,7.87
01/12/2021 08:10,8.195,8.319,7.995
01/12/2021 08:20,8.27,8.419,8.095
01/12/2021 08:30,8.195,8.394,7.995
01/12/2021 08:40,8.07,8.12,7.469
01/12/2021 08:50,9.558,7.444,6.965
01/12/2021 09:00,11.71,8.866,7.569
01/12/2021 09:10,14.098,12.847,9.238
