,,,
Date/Time,C1,C3,C5
1/1/21 12:00 AM,8.77,8.32,8.42
1/1/21 12:10 AM,9.51,9.02,9.09
1/1/21 12:20 AM,9.51,9.16,9.06
1/1/21 12:30 AM,9.24,9.09,8.82
1/1/21 12:40 AM,8.87,8.92,8.52
1/1/21 12:50 AM,8.52,8.62,8.22
1/1/21 1:00 AM,8.20,8.37,7.97
1/1/21 1:10 AM,7.92,8.10,7.70
1/1/21 1:20 AM,7.70,7.87,7.47
1/1/21 1:30 AM,7.47,7.67,7.27
1/1/21 1:40 AM,7.32,7.47,7.12
1/1/21 1:50 AM,7.22,7.34,6.99
1/1/21 2:00 AM,7.14,7.29,7.07
1/1/21 2:10 AM,8.54,8.15,8.54
1/1/21 2:20 AM,9.24,8.67,9.06
1/1/21 2:30 AM,9.29,8.89,9.02
1/1/21 2:40 AM,9.06,8.89,8.77
1/1/21 2:50 AM,8.72,8.72,8.44
1/1/21 3:00 AM,8.37,8.49,8.12
1/1/21 3:10 AM,8.02,8.22,7.82
1/1/21 3:20 AM,7.77,8.00,7.54
1/1/21 3:30 AM,7.52,7.72,7.32
1/1/21 3:40 AM,7.32,7.52,7.12
1/1/21 3:50 AM,7.17,7.32,6.97
1/1/21 4:00 AM,7.87,7.67,7.82
1/1/21 4:10 AM,9.06,8.52,8.87
1/1/21 4:20 AM,9.34,8.89,9.02
1/1/21 4:30 AM,9.16,8.92,8.82
1/1/21 4:40 AM,8.79,8.77,8.49
1/1/21 4:50 AM,8.42,8.52,8.15
1/1/21 5:00 AM,8.07,8.22,7.82
1/1/21 5:10 AM,7.75,7.97,7.52
1/1/21 5:20 AM,7.47,7.67,7.27
1/1/21 5:30 AM,7.24,7.44,7.04
1/1/21 5:40 AM,7.17,7.44,7.17
1/1/21 5:50 AM,8.72,8.25,8.69
1/1/21 6:00 AM,9.34,8.74,9.06
1/1/21 6:10 AM,9.26,8.92,8.94
1/1/21 6:20 AM,8.92,8.82,8.59
1/1/21 6:30 AM,8.49,8.64,8.20
1/1/21 6:40 AM,8.10,8.32,7.85
1/1/21 6:50 AM,7.77,8.07,7.52
1/1/21 7:00 AM,7.47,7.72,7.27
1/1/21 7:10 AM,7.22,7.44,7.02
1/1/21 7:20 AM,7.72,7.62,7.62
1/1/21 7:30 AM,9.16,8.49,8.84
1/1/21 7:40 AM,9.41,8.89,9.04
1/1/21 7:50 AM,9.21,8.94,8.84
1/1/21 8:00 AM,8.87,8.87,8.57
1/1/21 8:10 AM,8.07,8.27,7.87
1/1/21 8:20 AM,7.32,7.67,7.17
1/1/21 8:30 AM,6.99,7.32,7.02
1/1/21 8:40 AM,7.37,7.42,7.95
1/1/21 8:50 AM,7.47,7.87,8.74
1/1/21 9:00 AM,7.22,8.00,7.92
1/1/21 9:10 AM,7.02,7.72,6.76
1/1/21 9:20 AM,8.07,7.57,6.86
1/1/21 9:30 AM,10.35,8.52,9.02
1/1/21 9:40 AM,13.86,11.64,9.58
1/1/21 9:50 AM,15.18,15.22,10.25
1/1/21 10:00 AM,16.06,16.11,11.30
1/1/21 10:10 AM,17.27,17.51,12.56
1/1/21 10:20 AM,18.84,18.08,13.86
1/1/21 10:30 AM,20.94,19.08,15.37
1/1/21 10:40 AM,22.25,20.98,17.03
1/1/21 10:50 AM,22.90,21.99,19.46
1/1/21 11:00 AM,20.56,20.10,16.32
1/1/21 11:10 AM,19.41,19.06,16.32
1/1/21 11:20 AM,23.09,21.82,20.65
1/1/21 11:30 AM,20.25,17.23,14.43
1/1/21 11:40 AM,22.30,20.87,18.89
1/1/21 11:50 AM,19.94,19.13,14.46
1/1/21 12:00 PM,19.98,19.79,17.23
1/1/21 12:10 PM,22.71,20.89,19.48
1/1/21 12:20 PM,20.25,19.53,17.75
1/1/21 12:30 PM,22.59,21.94,21.32
1/1/21 12:40 PM,21.08,19.75,18.75
1/1/21 12:50 PM,22.35,21.96,20.91
1/1/21 1:00 PM,19.79,19.58,15.56
1/1/21 1:10 PM,17.25,17.75,14.79
1/1/21 1:20 PM,19.18,18.70,18.13
1/1/21 1:30 PM,22.20,21.39,21.94
1/1/21 1:40 PM,18.77,20.77,19.37
1/1/21 1:50 PM,20.75,22.32,20.41
1/1/21 2:00 PM,18.39,18.60,16.27
1/1/21 2:10 PM,21.94,22.11,22.13
1/1/21 2:20 PM,16.65,18.01,14.07
1/1/21 2:30 PM,15.56,16.58,14.51
1/1/21 2:40 PM,15.72,16.56,15.34
1/1/21 2:50 PM,15.70,16.65,15.77
1/1/21 3:00 PM,15.37,16.30,15.99
1/1/21 3:10 PM,15.75,16.18,16.23
1/1/21 3:20 PM,16.11,16.63,16.46
1/1/21 3:30 PM,16.25,16.61,16.42
1/1/21 3:40 PM,15.80,15.80,15.75
1/1/21 3:50 PM,14.94,14.67,14.77
1/1/21 4:00 PM,13.71,13.88,13.62
1/1/21 4:10 PM,12.17,13.33,12.65
1/1/21 4:20 PM,11.22,12.97,11.93
1/1/21 4:30 PM,10.52,12.39,11.27
1/1/21 4:40 PM,9.88,11.81,10.76
1/1/21 4:50 PM,8.92,11.03,9.66
1/1/21 5:00 PM,7.72,10.05,8.25
1/1/21 5:10 PM,7.80,8.94,7.87
1/1/21 5:20 PM,8.10,8.52,8.07
1/1/21 5:30 PM,8.32,8.54,8.22
1/1/21 5:40 PM,8.82,8.92,8.62
1/1/21 5:50 PM,9.11,9.14,8.89
1/1/21 6:00 PM,9.31,9.34,9.09
1/1/21 6:10 PM,9.39,9.46,9.19
1/1/21 6:20 PM,9.36,9.51,9.21
1/1/21 6:30 PM,9.41,9.51,9.21
1/1/21 6:40 PM,9.46,9.56,9.26
1/1/21 6:50 PM,9.44,9.56,9.26
1/1/21 7:00 PM,9.39,9.51,9.21
1/1/21 7:10 PM,9.31,9.44,9.14
1/1/21 7:20 PM,9.26,9.36,9.09
1/1/21 7:30 PM,9.14,9.24,8.97
1/1/21 7:40 PM,9.06,9.14,8.87
1/1/21 7:50 PM,9.02,9.14,8.87
1/1/21 8:00 PM,8.92,9.06,8.77
1/1/21 8:10 PM,8.94,9.02,8.74
1/1/21 8:20 PM,8.89,8.99,8.72
1/1/21 8:30 PM,8.87,8.97,8.69
1/1/21 8:40 PM,8.89,8.94,8.69
1/1/21 8:50 PM,8.89,8.99,8.72
1/1/21 9:00 PM,8.82,8.92,8.67
1/1/21 9:10 PM,8.79,8.89,8.62
1/1/21 9:20 PM,8.79,8.87,8.62
1/1/21 9:30 PM,8.64,8.79,8.47
1/1/21 9:40 PM,8.59,8.67,8.39
1/1/21 9:50 PM,8.52,8.62,8.34
1/1/21 10:00 PM,8.39,8.52,8.25
1/1/21 10:10 PM,8.34,8.42,8.15
1/1/21 10:20 PM,8.32,8.37,8.12
1/1/21 10:30 PM,8.27,8.32,8.07
1/1/21 10:40 PM,8.20,8.25,8.00
1/1/21 10:50 PM,8.12,8.17,7.92
1/1/21 11:00 PM,8.05,8.12,7.87
1/1/21 11:10 PM,8.00,8.05,7.80
1/1/21 11:20 PM,7.95,8.00,7.72
1/1/21 11:30 PM,7.90,7.92,7.67
1/1/21 11:40 PM,7.85,7.87,7.62
1/1/21 11:50 PM,7.80,7.82,7.57
1/2/21 12:00 AM,7.75,7.80,7.54
1/2/21 12:10 AM,7.72,7.75,7.49
1/2/21 12:20 AM,7.67,7.72,7.47
1/2/21 12:30 AM,7.67,7.70,7.44
1/2/21 12:40 AM,7.67,7.70,7.44
1/2/21 12:50 AM,7.72,7.75,7.49
1/2/21 1:00 AM,7.67,7.72,7.47
1/2/21 1:10 AM,7.70,7.75,7.47
1/2/21 1:20 AM,7.75,7.80,7.52
1/2/21 1:30 AM,7.67,7.77,7.49
1/2/21 1:40 AM,7.70,7.77,7.47
1/2/21 1:50 AM,7.75,7.80,7.54
1/2/21 2:00 AM,7.75,7.85,7.54
1/2/21 2:10 AM,7.75,7.82,7.54
1/2/21 2:20 AM,7.82,7.87,7.59
1/2/21 2:30 AM,7.82,7.92,7.62
1/2/21 2:40 AM,7.77,7.87,7.57
1/2/21 2:50 AM,7.80,7.87,7.57
1/2/21 3:00 AM,7.80,7.87,7.59
1/2/21 3:10 AM,7.72,7.82,7.52
1/2/21 3:20 AM,7.72,7.80,7.52
1/2/21 3:30 AM,7.70,7.80,7.49
1/2/21 3:40 AM,7.59,7.70,7.39
1/2/21 3:50 AM,7.62,7.67,7.39
1/2/21 4:00 AM,7.57,7.67,7.37
1/2/21 4:10 AM,7.42,7.54,7.24
1/2/21 4:20 AM,7.34,7.44,7.14
1/2/21 4:30 AM,7.32,7.39,7.09
1/2/21 4:40 AM,7.37,7.39,7.12
1/2/21 4:50 AM,7.37,7.44,7.17
1/2/21 5:00 AM,7.37,7.44,7.14
1/2/21 5:10 AM,7.42,7.47,7.19
1/2/21 5:20 AM,7.42,7.49,7.22
1/2/21 5:30 AM,7.32,7.42,7.12
1/2/21 5:40 AM,7.27,7.37,7.07
1/2/21 5:50 AM,7.29,7.34,7.07
1/2/21 6:00 AM,7.27,7.34,7.07
1/2/21 6:10 AM,7.12,7.22,6.94
1/2/21 6:20 AM,7.22,7.32,7.32
1/2/21 6:30 AM,8.89,8.37,8.57
1/2/21 6:40 AM,9.36,8.84,8.92
1/2/21 6:50 AM,9.31,8.94,8.92
1/2/21 7:00 AM,9.06,8.87,8.69
1/2/21 7:10 AM,8.79,8.69,8.47
1/2/21 7:20 AM,8.47,8.47,8.20
1/2/21 7:30 AM,8.22,8.25,7.97
1/2/21 7:40 AM,8.00,8.07,7.75
1/2/21 7:50 AM,7.85,7.95,7.59
1/2/21 8:00 AM,7.77,7.85,7.52
1/2/21 8:10 AM,7.42,7.54,7.27
1/2/21 8:20 AM,6.91,7.09,6.81
1/2/21 8:30 AM,7.95,7.62,7.95
1/2/21 8:40 AM,6.76,7.32,7.07
1/2/21 8:50 AM,6.31,7.14,6.76
1/2/21 9:00 AM,7.62,7.67,8.07
1/2/21 9:10 AM,8.00,8.15,8.69
1/2/21 9:20 AM,8.99,8.37,7.72
1/2/21 9:30 AM,9.56,8.54,7.57
1/2/21 9:40 AM,11.86,10.52,8.07
1/2/21 9:50 AM,13.16,13.33,9.11
1/2/21 10:00 AM,14.17,14.60,10.27
1/2/21 10:10 AM,15.96,16.30,11.88
1/2/21 10:20 AM,18.32,18.25,13.98
1/2/21 10:30 AM,20.75,19.60,16.23
1/2/21 10:40 AM,22.94,21.72,18.41
1/2/21 10:50 AM,20.22,20.13,14.75
1/2/21 11:00 AM,19.01,18.82,16.13
1/2/21 11:10 AM,21.72,21.37,19.98
1/2/21 11:20 AM,22.94,21.58,19.01
1/2/21 11:30 AM,19.67,19.15,16.73
