,,,
Date/Time,C1,C3,C5
01/01/2022 00:00,7.82,8.469,7.995
01/01/2022 00:10,7.318,8.17,7.393
01/01/2022 00:20,6.864,7.67,6.914
01/01/2022 00:30,7.67,7.82,7.995
01/01/2022 00:40,8.568,8.444,9.04
01/01/2022 00:50,8.469,8.643,8.792
01/01/2022 01:00,7.97,8.543,8.12
01/01/2022 01:10,7.368,8.27,7.469
01/01/2022 01:20,6.889,7.82,6.914
01/01/2022 01:30,7.469,7.745,7.72
01/01/2022 01:40,8.494,8.419,9.015
01/01/2022 01:50,8.444,8.668,8.817
01/01/2022 02:00,7.92,8.568,8.17
01/01/2022 02:10,7.393,8.27,7.469
01/01/2022 02:20,6.864,7.845,6.864
01/01/2022 02:30,7.494,7.895,7.92
01/01/2022 02:40,8.394,8.419,8.965
01/01/2022 02:50,8.295,8.593,8.693
01/01/2022 03:00,7.77,8.469,8.02
01/01/2022 03:10,7.217,8.12,7.318
01/01/2022 03:20,6.813,7.695,7.015
01/01/2022 03:30,7.945,8.02,8.369
01/01/2022 03:40,8.519,8.519,9.015
01/01/2022 03:50,8.17,8.593,8.494
01/01/2022 04:00,7.569,8.369,7.745
01/01/2022 04:10,6.94,7.995,7.015
01/01/2022 04:20,7.091,7.745,7.318
01/01/2022 04:30,8.27,8.344,8.841
01/01/2022 04:40,8.369,8.643,8.817
01/01/2022 04:50,7.87,8.543,8.145
01/01/2022 05:00,7.293,8.22,7.419
01/01/2022 05:10,6.763,7.795,6.914
01/01/2022 05:20,7.695,8.045,8.22
01/01/2022 05:30,8.519,8.668,8.99
01/01/2022 05:40,8.22,8.717,8.568
01/01/2022 05:50,7.594,8.444,7.77
01/01/2022 06:00,6.914,8.045,7.041
01/01/2022 06:10,7.142,7.82,7.444
01/01/2022 06:20,8.319,8.519,8.817
01/01/2022 06:30,8.394,8.792,8.767
01/01/2022 06:40,7.87,8.618,8.12
01/01/2022 06:50,7.217,8.245,7.368
01/01/2022 07:00,6.737,7.745,6.94
01/01/2022 07:10,7.845,8.02,8.27
01/01/2022 07:20,8.519,8.618,8.99
01/01/2022 07:30,8.195,8.693,8.494
01/01/2022 07:40,7.645,8.469,7.82
01/01/2022 07:50,7.066,8.07,7.116
01/01/2022 08:00,7.015,7.695,7.217
01/01/2022 08:10,8.07,8.145,8.643
01/01/2022 08:20,8.07,8.444,8.717
01/01/2022 08:30,6.914,8.145,7.419
01/01/2022 08:40,4.792,7.066,5.796
01/01/2022 08:50,4.246,6.153,5.642
01/01/2022 09:00,6.408,6.306,7.066
01/01/2022 09:10,8.643,7.444,9.163
01/01/2022 09:20,11.734,9.78,9.188
01/01/2022 09:30,13.978,13.786,9.435
01/01/2022 09:40,14.96,14.721,10.296
01/01/2022 09:50,16.368,15.963,11.807
01/01/2022 10:00,18.129,18.438,13.618
01/01/2022 10:10,19.674,19.603,15.509
01/01/2022 10:20,21.246,21.032,17.415
01/01/2022 10:30,22.585,22.226,21.461
01/01/2022 10:40,23.256,23.088,24.823
01/01/2022 10:50,17.891,21.127,17.796
01/01/2022 11:00,21.008,21.652,21.437
01/01/2022 11:10,24.026,23.809,25.623
01/01/2022 11:20,17.915,20.555,16.844
01/01/2022 11:30,22.824,22.992,21.867
01/01/2022 11:40,20.269,20.579,17.249
01/01/2022 11:50,22.513,22.992,22.369
01/01/2022 12:00,19.175,21.7,19.436
01/01/2022 12:10,20.841,22.058,20.722
