Date/Time,C1,C3,C5
01/01/2023 00:00,9.089,8.22,9.089
01/01/2023 00:10,9.015,8.469,9.015
01/01/2023 00:20,8.593,8.519,8.792
01/01/2023 00:30,8.145,8.369,8.444
01/01/2023 00:40,7.745,8.17,8.12
01/01/2023 00:50,7.393,7.92,7.795
01/01/2023 01:00,7.091,7.645,7.519
01/01/2023 01:10,6.99,7.419,7.393
01/01/2023 01:20,8.344,7.67,8.469
01/01/2023 01:30,8.891,8.07,8.891
01/01/2023 01:40,8.717,8.319,8.792
01/01/2023 01:50,8.295,8.319,8.519
01/01/2023 02:00,7.87,8.145,8.145
01/01/2023 02:10,7.444,7.895,7.795
01/01/2023 02:20,7.066,7.619,7.469
01/01/2023 02:30,7.116,7.368,7.469
01/01/2023 02:40,8.519,7.82,8.668
01/01/2023 02:50,8.941,8.17,8.916
01/01/2023 03:00,8.668,8.319,8.717
01/01/2023 03:10,8.22,8.27,8.394
01/01/2023 03:20,7.72,8.07,8.02
01/01/2023 03:30,7.293,7.77,7.645
01/01/2023 03:40,6.965,7.469,7.318
01/01/2023 03:50,7.72,7.469,7.895
01/01/2023 04:00,8.717,7.895,8.643
01/01/2023 04:10,8.668,8.12,8.618
01/01/2023 04:20,8.245,8.12,8.319
01/01/2023 04:30,7.72,7.97,7.945
01/01/2023 04:40,7.242,7.67,7.544
01/01/2023 04:50,6.914,7.368,7.242
01/01/2023 05:00,8.319,7.67,8.394
01/01/2023 05:10,9.262,8.27,9.163
01/01/2023 05:20,9.064,8.494,9.015
01/01/2023 05:30,8.519,8.494,8.643
01/01/2023 05:40,7.92,8.22,8.17
01/01/2023 05:50,7.393,7.92,7.72
01/01/2023 06:00,6.99,7.569,7.368
01/01/2023 06:10,7.544,7.419,7.695
01/01/2023 06:20,8.99,8.02,9.015
01/01/2023 06:30,9.139,8.344,9.064
01/01/2023 06:40,8.717,8.469,8.742
01/01/2023 06:50,8.095,8.319,8.344
01/01/2023 07:00,7.544,8.02,7.895
01/01/2023 07:10,7.116,7.67,7.494
01/01/2023 07:20,7.091,7.393,7.419
01/01/2023 07:30,8.568,7.82,8.618
01/01/2023 07:40,8.99,8.195,8.941
01/01/2023 07:50,8.742,8.319,8.717
01/01/2023 08:00,8.319,8.295,8.419
